thread_id,opening_text,created_at,n_turns,dt,month
919197,@AppleSupport having issues connecting my iPad to my personal hot spot after iOS 11,Wed Sep 20 22:39:16 +0000 2017,6,2017-09-20 22:39:16+00:00,2017-09
430165,Subscribe to Apple Music. Pop in your AirPods. Then stream 40 million songs from your Apple Watch Series 3. https://t.co/Rc9088bUEA https://t.co/YXXYLdJjd0,Thu Sep 28 22:39:23 +0000 2017,5,2017-09-28 22:39:23+00:00,2017-09
242356,"@AppleSupport não aguento mais carregar meu celular não seus fodido, terei que ir pro iOS 10 novamente?",Fri Sep 29 21:48:26 +0000 2017,4,2017-09-29 21:48:26+00:00,2017-09
211256,A new generation of iPhone. Available now. https://t.co/oEqZ9JzGMa,Thu Sep 28 11:19:07 +0000 2017,7,2017-09-28 11:19:07+00:00,2017-09
284771,@AppleSupport since upgrade to iOS 11 my iPhone 7’s battery life is even worse than before! i can watch the % drop as I’m using my phone! 👎,Mon Sep 25 17:25:39 +0000 2017,6,2017-09-25 17:25:39+00:00,2017-09
308596,"@AppleSupport Updated MacBook to High Sierra, cant connect to home wifi or personal hotspot on iPhone 7+.",Fri Sep 29 15:47:32 +0000 2017,4,2017-09-29 15:47:32+00:00,2017-09
946700,@AppleSupport I have lost count of my phone crashes/lock ups... What type of pos did you rollout?... Forget what testing is? #wtf https://t.co/TRIlL2YAhJ,Sun Sep 24 02:15:42 +0000 2017,4,2017-09-24 02:15:42+00:00,2017-09
869928,@AppleSupport where do my FaceTime Live Photos go and why can’t I find them in my photo app?,Fri Oct 20 15:06:09 +0000 2017,2,2017-10-20 15:06:09+00:00,2017-10
336577,Some please tell me what the duck this means @AppleSupport @115948 https://t.co/sZrCFvTBdv,Sat Oct 07 17:52:46 +0000 2017,4,2017-10-07 17:52:46+00:00,2017-10
344385,@AppleSupport pics I this morning synced with icloud and can’t now be downloaded,Sat Oct 07 23:45:25 +0000 2017,2,2017-10-07 23:45:25+00:00,2017-10
993344,Enormous #lags with #calendar app on #ipadair2 with #ios11.0.3 @115858 @AppleSupport 😡😡😡😡,Sun Oct 22 13:43:12 +0000 2017,2,2017-10-22 13:43:12+00:00,2017-10
299664,@AppleSupport terrible cracking sound in calls especially while using speaker,Fri Oct 06 17:05:28 +0000 2017,4,2017-10-06 17:05:28+00:00,2017-10
265146,@AppleSupport so Siri doesn’t work anymore..and before you say to turn it off and back on and to restart my phone...I did already,Fri Oct 06 00:02:45 +0000 2017,8,2017-10-06 00:02:45+00:00,2017-10
748165,why the fucc doesnt my phone connect to wifi @AppleSupport fix this,Fri Oct 06 22:49:53 +0000 2017,2,2017-10-06 22:49:53+00:00,2017-10
775429,@AppleSupport after the installed iOS11 my iPhone present failures. Camera is not working.,Thu Oct 12 02:44:42 +0000 2017,2,2017-10-12 02:44:42+00:00,2017-10
657067,@AppleSupport I can’t call ppl half the time on my iPhone 7. If you don’t fix it ASAP I will switch to @117159,Thu Oct 05 04:42:27 +0000 2017,2,2017-10-05 04:42:27+00:00,2017-10
1001990,"@AppleSupport pushed 11.0.3 update. Battery drains 1% a minute when typing. WiFi issues, WhatsApp working funny, touch non responsive.",Sun Oct 22 16:48:52 +0000 2017,2,2017-10-22 16:48:52+00:00,2017-10
631574,@115858 upgrading to iOS 11 rendered iPhone entirely useless. I also have subscriptions to several of your other service. I’m unimpressed,Wed Oct 04 19:54:59 +0000 2017,3,2017-10-04 19:54:59+00:00,2017-10
400396,Anybody else having issues with iPhone ios11.0.2? App Store won't download &amp; won’t update any apps! @115858 @118936 @AppleSupport #appstore,Mon Oct 09 18:19:32 +0000 2017,3,2017-10-09 18:19:32+00:00,2017-10
387589,"@AppleSupport : In ios11, Wifi &amp; bluetooth gets enabled automaticly.Also,if u enable&amp;thn disable flyt mode it gts active.Plz fix ios11.",Mon Oct 09 05:54:43 +0000 2017,2,2017-10-09 05:54:43+00:00,2017-10
35271,@AppleSupport what the hell is wrong with ur new update?? My phone keeps getting stuck and powering off (unresponsive). Get ur shit together,Tue Oct 31 21:12:27 +0000 2017,6,2017-10-31 21:12:27+00:00,2017-10
388035,@AppleSupport Hi my iPad mini is dying on me and I'm a small business who can't afford a new one. Help.,Mon Oct 09 08:27:34 +0000 2017,4,2017-10-09 08:27:34+00:00,2017-10
326668,Yo. @115858 @AppleSupport : we can’t send video via text to android phones anymore?!? Seriously?,Sun Oct 01 01:02:12 +0000 2017,10,2017-10-01 01:02:12+00:00,2017-10
188655,@AppleSupport there’s not improvement I’ve updated the OS to 11.0.1 but nothing 😐 https://t.co/vsVsEWotKE,Tue Oct 03 20:16:38 +0000 2017,5,2017-10-03 20:16:38+00:00,2017-10
759047,@115858 smart battery charging case absolutely ruined the battery in my phone.,Wed Oct 11 19:19:39 +0000 2017,2,2017-10-11 19:19:39+00:00,2017-10
810837,J'arrive plus à jumeler ma watch @AppleSupport,Thu Oct 12 13:02:52 +0000 2017,8,2017-10-12 13:02:52+00:00,2017-10
1037652,Hey @AppleSupport thanks for bricking my #AppleTV third generation with the latest update.,Mon Oct 23 02:02:14 +0000 2017,2,2017-10-23 02:02:14+00:00,2017-10
361078,@AppleSupport my phone won’t turn back on most times and when it does it has this ringer symbol permanently on. Can we set up an appointment,Sun Oct 08 14:34:31 +0000 2017,4,2017-10-08 14:34:31+00:00,2017-10
390478,@AppleSupport ios11 update~ It changes from portrait mode to landscape mode automatically. https://t.co/4dJyWvuunm,Mon Oct 09 13:05:20 +0000 2017,6,2017-10-09 13:05:20+00:00,2017-10
717228,🗣 WE NEED A SEARCH FUNCTION WITHIN A PLAYLIST @115948 @AppleSupport,Tue Oct 10 23:36:45 +0000 2017,2,2017-10-10 23:36:45+00:00,2017-10
866274,@AppleSupport Why is the 1st track of this album that I purchased missing? It’s the same on both my Mac and my iPhone. https://t.co/B4koDlvzam,Fri Oct 20 16:26:22 +0000 2017,3,2017-10-20 16:26:22+00:00,2017-10
976698,@AppleSupport help. Can't eject CD from my external superdrive. https://t.co/Se4u066bsw,Wed Oct 11 18:46:54 +0000 2017,3,2017-10-11 18:46:54+00:00,2017-10
1040193,@AppleSupport Your new upgrade stuck my iPhone 6s. Pls launch a new upgrade fixing the problems.,Sat Oct 14 18:30:20 +0000 2017,2,2017-10-14 18:30:20+00:00,2017-10
859184,Battery drain issue with the latest iOS update 11.0.2 @AppleSupport #ios11 - been two hours since my last charge - iPhone at 79% 😕,Mon Oct 09 08:07:47 +0000 2017,5,2017-10-09 08:07:47+00:00,2017-10
936211,".@AppleSupport, @81 shipped my replacement part to someone else. They can't find it. I'm trying to contact you but I get this: https://t.co/h2k7MogRLq",Wed Oct 11 00:16:53 +0000 2017,3,2017-10-11 00:16:53+00:00,2017-10
740092,@AppleSupport What is going on with iOS 11?! I’ve had constant freezing since updating. Reliability was the only reason I’m with Apple....,Fri Oct 06 19:33:11 +0000 2017,2,2017-10-06 19:33:11+00:00,2017-10
427845,@115858 fix this iOS 11 update PLEASE.,Tue Oct 10 05:22:18 +0000 2017,2,2017-10-10 05:22:18+00:00,2017-10
839871,Hate the new iPhone update bc you can’t read texts in notifications when you slide down. @115858 I suggest you make some adjustments.,Fri Oct 13 02:24:20 +0000 2017,2,2017-10-13 02:24:20+00:00,2017-10
208993,@115858 updated my phone w the new update and it said it would fix my calls so they wouldn’t have that loud static noise but it’s still there,Wed Oct 04 18:55:22 +0000 2017,4,2017-10-04 18:55:22+00:00,2017-10
247630,@AppleSupport The volume button does not control ringer volume after update on IPhone6S. Is this being looked at?,Thu Oct 05 14:32:06 +0000 2017,4,2017-10-05 14:32:06+00:00,2017-10
1027576,"@AppleSupport I'm not sure what the goal was with this new update, but my phone has been giving me problems for the last 30+ hours....",Mon Oct 23 00:38:32 +0000 2017,2,2017-10-23 00:38:32+00:00,2017-10
943583,@AppleSupport why the wifi and Bluetooth did not shut down from control panel..it still on in setting tab,Sat Oct 21 07:39:14 +0000 2017,2,2017-10-21 07:39:14+00:00,2017-10
881171,.@115858 replaces all your smtp servers with its own icloud server without asking #ios11 https://t.co/MLNxsrvaxV,Fri Oct 20 07:12:28 +0000 2017,3,2017-10-20 07:12:28+00:00,2017-10
962687,hello why does apple music keep asking for permission to trust my phone whenever i open the app? @AppleSupport,Sat Oct 21 20:39:37 +0000 2017,4,2017-10-21 20:39:37+00:00,2017-10
1018091,@AppleSupport struggling to update to 11.03. Everything has been wiped from my phone &amp; I can't even get it to restore factory settings 😡,Sun Oct 22 20:55:19 +0000 2017,3,2017-10-22 20:55:19+00:00,2017-10
373654,This update got my phone going slow and battery dying easily. WTF @115858,Sun Oct 08 23:49:02 +0000 2017,2,2017-10-08 23:49:02+00:00,2017-10
644432,Hey @AppleSupport.  What happened to my Chrome  filter?,Thu Oct 05 01:43:37 +0000 2017,2,2017-10-05 01:43:37+00:00,2017-10
171781,@115858 There is a serious BO problem at the Bridgeport Village Apple Store. We left it was so bad.,Fri Nov 24 21:58:03 +0000 2017,2,2017-11-24 21:58:03+00:00,2017-11
96985,"Apenas salió en nuevo iPhone X y el 7 ya empieza a colgarse, la batería se descarga rápido, etc, siempre lo mismo @AppleSupport",Thu Nov 30 16:06:27 +0000 2017,4,2017-11-30 16:06:27+00:00,2017-11
695270,"@AppleSupport @115858 
iPhone 6 mega lent (surtout clavier) et autonomie en chute depuis iOS 11. Ça continue malgré les patchs! Que faire? Honteux de rendre un téléphone qui fonctionne super complètement obsolète en une maj #obsolescenceprogrammee",Fri Nov 17 11:42:08 +0000 2017,8,2017-11-17 11:42:08+00:00,2017-11
595848,"Dear @AppleSupport, iOS 11.1 broke my notifications. Please fix. Thanks! https://t.co/dlO4ZJxnOy",Thu Nov 02 15:42:33 +0000 2017,11,2017-11-02 15:42:33+00:00,2017-11
449453,"@AppleSupport my Apple watch series 3 keeps telling me it can't send SMS messages, but iMessage works. It was working fine yesterday. Can't receive SMS on the watch either.",Thu Nov 30 20:44:28 +0000 2017,8,2017-11-30 20:44:28+00:00,2017-11
41674,@AppleSupport 11.1 update broke my wifi it's greyed out i've been waiting on live chat for over 30 minutes..,Wed Nov 01 14:54:55 +0000 2017,2,2017-11-01 14:54:55+00:00,2017-11
112839,"So my phone just randomly stopped working
@AppleSupport",Thu Nov 23 18:19:26 +0000 2017,4,2017-11-23 18:19:26+00:00,2017-11
123709,Apple really screwed up with this update. The problem when you put I️. My phones constantly freezing and crashing shit sucks. @AppleSupport,Fri Nov 24 01:09:40 +0000 2017,2,2017-11-24 01:09:40+00:00,2017-11
450353,@AppleSupport please tell me you’re working on an iOS fix for red eye pictures with the iPhone X?! All this money on the best smart phone camera and getting red eye in pictures. I’m not particularly happy,Thu Nov 30 21:19:32 +0000 2017,2,2017-11-30 21:19:32+00:00,2017-11
629795,@28520 @115858 @AppleSupport My software is/has been up to date,Wed Nov 22 13:39:55 +0000 2017,2,2017-11-22 13:39:55+00:00,2017-11
112878,Que caralho de atualização hein apple. Minha bateria tá evaporando,Thu Nov 23 11:45:30 +0000 2017,8,2017-11-23 11:45:30+00:00,2017-11
94879,"@115858 @1647 @122986 I’m disappointed with @115858 @AppleSupport I think I’ll never going to order something again on apple, I'm almost canceling my order and I'm almost going to the @1647 or @122986 competition after being an apple customer for more than 10 years",Thu Nov 30 14:39:57 +0000 2017,2,2017-11-30 14:39:57+00:00,2017-11
619519,Wenn ich über AirPlay Musik auf Apple TV Spiele und dann Siri benutze geht Musik aus und Apple TV zeigt ein Video(!) von der Siri Kugel @AppleSupport versteh das “Feature” nicht???,Wed Nov 22 09:30:18 +0000 2017,2,2017-11-22 09:30:18+00:00,2017-11
249325,So my phone glitched and apple this is a idea u should do in the next update make that black glitched screen into the home screen so I can do two things at ones @115858 https://t.co/KzV1KIRSzt,Sat Nov 25 02:34:15 +0000 2017,5,2017-11-25 02:34:15+00:00,2017-11
51699,"@115858 Here's a thought: new phone numbers in iOS default to ""home fax."" Maybe that's something you could fix please, or is an inside joke?",Wed Nov 01 17:33:11 +0000 2017,6,2017-11-01 17:33:11+00:00,2017-11
33384,"- what is up with the letter “eye” button @AppleSupport?! for like a 4 days now, the letter “eye” has been turning into this i️ 😐",Wed Nov 01 06:56:55 +0000 2017,4,2017-11-01 06:56:55+00:00,2017-11
92735,Why is it my Cloud Account has deleted items I had Not Moved into the Trash? Policy Violations by Illegitimate Assumed Power...@115858 @AppleSupport @2912 @136082 @136083 @4831 @120330 @136084 @131187 @119737 https://t.co/8OT2GR4Z46,Thu Nov 30 13:14:22 +0000 2017,2,2017-11-30 13:14:22+00:00,2017-11
649787,I️ looooove when new iPhones come out and mine immediately starts acting like a POS. Thanks @115858 sup @AppleSupport,Wed Nov 22 20:49:08 +0000 2017,4,2017-11-22 20:49:08+00:00,2017-11
450392,Hi @AppleSupport is this a scam email? Assuming yes 😳 https://t.co/KTVdxAcIES,Thu Nov 30 21:20:33 +0000 2017,2,2017-11-30 21:20:33+00:00,2017-11
96922,"@115858 appfails mezelf suf getraind om een medaille te halen. 
Kan da activiteit app niet reken 😬 kwam zelf uit op een gemiddelde van 47,2 #AppleWatch #FailsOfTheWeek https://t.co/O824X7yi6u",Thu Nov 30 16:17:43 +0000 2017,4,2017-11-30 16:17:43+00:00,2017-11
617262,@AppleSupport why is system taking up 11gb on my 16gb iPhone 6s?,Wed Nov 22 07:35:20 +0000 2017,2,2017-11-22 07:35:20+00:00,2017-11
701597,"Dear Apple, pls fix this problem. What’s the point of having a shortcut when it doesn’t even work? @115858 #OffWifi #Offbluetooth https://t.co/o7Yj8G8DDh",Thu Nov 23 16:19:23 +0000 2017,2,2017-11-23 16:19:23+00:00,2017-11
687958,"@AppleSupport  the last two nights in a row all of my messages ever have been deleted or disappeared but my storage still says they're all there, any idea why or how this is happening? I didn't change any settings",Thu Nov 23 06:15:24 +0000 2017,2,2017-11-23 06:15:24+00:00,2017-11
619449,"Is @115858 being shady? I haven't updated my iOS software &amp; all of a sudden, my battery life is DONE 👎🏾",Wed Nov 22 11:48:13 +0000 2017,2,2017-11-22 11:48:13+00:00,2017-11
671319,"tries to transfer data to my iPhone X, but because I was a beta tester on my 7 Plus it won't let me download the backup onto the X. How y'all gonna do me dirty like that I need my pix @115858",Thu Nov 23 00:45:10 +0000 2017,2,2017-11-23 00:45:10+00:00,2017-11
637450,Yo @115858 so yall sending updates every week but not one of them fixes the fact that my apps continuously crashing/freezing? 🤔,Wed Nov 22 19:07:12 +0000 2017,4,2017-11-22 19:07:12+00:00,2017-11
156006,@AppleSupport hi just had this text message I presume this is not from apple ? https://t.co/uFte3G858Q,Fri Nov 24 16:43:12 +0000 2017,4,2017-11-24 16:43:12+00:00,2017-11
631815,"@115858 can you please fix how slow my iPhone 6s Plus now functions and how the battery drops so quickly? If you still sell the phone, I feel you should make sure they will run properly with the updates. A new phone is not in the budget this year. I appreciate your help!",Wed Nov 22 15:24:16 +0000 2017,2,2017-11-22 15:24:16+00:00,2017-11
39670,@AppleSupport why does my iPhone turn on WiFi and Bluetooth automatically? 😭 #IWantToUseMyData,Wed Nov 01 14:18:52 +0000 2017,2,2017-11-01 14:18:52+00:00,2017-11
36664,Okay I️ thought it was just my phone @AppleSupport fix this shit with the letter EYE 😭 https://t.co/tkqnKp6VNl,Wed Nov 01 13:55:51 +0000 2017,2,2017-11-01 13:55:51+00:00,2017-11
644996,"Thanks @115858 for essentially rendering my @273087 DJ setup useless with the latest OS X updates. My USB audio device no longer works properly. I can't even revert back to an older version of OS X either. I have a gig next week, you know. Sincerely, fuck you.",Wed Nov 22 17:32:20 +0000 2017,2,2017-11-22 17:32:20+00:00,2017-11
274940,My phone is lagging soo much! It legit takes me 10 mins to type a word. @AppleSupport get your shit t,Sat Nov 25 03:20:04 +0000 2017,3,2017-11-25 03:20:04+00:00,2017-11
94864,@AppleSupport what in the flying fuck is this https://t.co/jLzQofNUMl,Thu Nov 30 14:37:01 +0000 2017,2,2017-11-30 14:37:01+00:00,2017-11
94834,"Dear @AppleSupport since last update (11.1.x) my status bar disappears randomly, I have to reboot to get it back. This is a bug of a very poor quality software 😡 https://t.co/VP4aQKIxRs",Thu Nov 30 14:46:07 +0000 2017,2,2017-11-30 14:46:07+00:00,2017-11
55124,"@AppleSupport Huge down performance on my 6 month old iphone7 with the news ios11, got plenty of issues.",Wed Nov 01 10:47:16 +0000 2017,2,2017-11-01 10:47:16+00:00,2017-11
34622,@AppleSupport @115858 After iOS11 the battery is draining very fast. Request you to look into it.,Wed Nov 01 09:22:24 +0000 2017,2,2017-11-01 09:22:24+00:00,2017-11
13213,Terror del siglo XXI!!! Ayúdame @115858 ! https://t.co/NyzNMPyY6a,Wed Nov 01 01:41:59 +0000 2017,2,2017-11-01 01:41:59+00:00,2017-11
43373,"Phone out of warrantee by 15 days, broken due to a hardware fault and no responsibility taken by @115858 @AppleSupport",Wed Nov 01 15:41:18 +0000 2017,2,2017-11-01 15:41:18+00:00,2017-11
302971,"@AppleSupport What happens if I gift someone a film in iTunes Store to their iTunes login email address, but they already own the film?",Sat Nov 25 03:22:25 +0000 2017,2,2017-11-25 03:22:25+00:00,2017-11
110897,@AppleSupport hello my iPhone 7 plus won't let me update to the new iOS it says to retry but I do but it still won't? https://t.co/3urWPXivR9,Thu Nov 23 19:51:55 +0000 2017,3,2017-11-23 19:51:55+00:00,2017-11
565956,@AppleSupport my iPhone 6plus and iPad simultaneously started freezing &amp; turning off since late last night .... what’s happening? This cannot be an isolated event. Some info would be helpful.,Sun Dec 03 00:37:47 +0000 2017,2,2017-12-03 00:37:47+00:00,2017-12
523855,"@AppleSupport said i’d get an email about my issue within 48 hours, 3 days ago 😭",Sat Dec 02 03:33:51 +0000 2017,2,2017-12-02 03:33:51+00:00,2017-12
484458,Anyone else had a nightmare with latest iPhone update? Lost all text access &amp; emojis all gone. Even @115858 guy on phone didn't have a clue. Aaargh @AppleSupport #SamsungBetter #LandlinesBetter,Fri Dec 01 05:32:27 +0000 2017,3,2017-12-01 05:32:27+00:00,2017-12
548132,anybody here who gets this iphone error at random intervals (around 3 to 5 times in one day)? any fixes? super annoying. @115858 @AppleSupport https://t.co/NdrnPt4Va6,Sat Dec 02 11:42:36 +0000 2017,2,2017-12-02 11:42:36+00:00,2017-12
585963,@AppleSupport dear @115858 I tried desperately to access my iphone6 plus via my iTunes but nothing works ! Could you please give me explanation! https://t.co/6g1qXcPF5g,Sun Dec 03 09:53:57 +0000 2017,5,2017-12-03 09:53:57+00:00,2017-12
549603,@AppleSupport how do change the ugly black text back to white in iOS 11.2? https://t.co/VBChUCJfzs,Sat Dec 02 12:49:44 +0000 2017,4,2017-12-02 12:49:44+00:00,2017-12
548063,"@AppleSupport @24153 It is not xpected frm Apple to be lyk sub-standard phone.
Unable to On it after it switch off due 2 low battery",Sat Dec 02 12:20:13 +0000 2017,3,2017-12-02 12:20:13+00:00,2017-12
584712,"@AppleSupport the adapter for my sons iphone7 has failed to work he’s only been using it since October 26th, it was bought 2 months prior but opened for his birthday .",Sun Dec 03 08:42:57 +0000 2017,2,2017-12-03 08:42:57+00:00,2017-12
460861,"Another @115858 #ios11 bug - search textbox in Settings disappears, and the little “x” (to clear the input) follows as you scroll. This release is a QA disaster. https://t.co/dApuyRo3vp",Fri Dec 01 01:45:03 +0000 2017,2,2017-12-01 01:45:03+00:00,2017-12
554883,"@115858 why does my phone keep freezing when I switch between apps? Everything was fine and then I downloaded the update, oh and fix this “I.T” too. Fucking fix “I.T“ #StillOnIphone7Hype",Sat Dec 02 17:38:59 +0000 2017,8,2017-12-02 17:38:59+00:00,2017-12
500027,@AppleSupport is this meant to happen? #SpinningAround https://t.co/LTo6ZayeQM,Fri Dec 01 19:05:37 +0000 2017,2,2017-12-01 19:05:37+00:00,2017-12
488016,Why do purchased albums on iTunes disappear from my library? @AppleSupport,Fri Dec 01 13:37:59 +0000 2017,7,2017-12-01 13:37:59+00:00,2017-12
557871,@AppleSupport no Apple Pay cash for the UK?,Sat Dec 02 20:28:59 +0000 2017,2,2017-12-02 20:28:59+00:00,2017-12
554788,"@AppleSupport we have an iPhone  6s and iPhone 7 that are turning off as though no battery then turning back on after a few minutes, help?",Sat Dec 02 18:17:12 +0000 2017,2,2017-12-02 18:17:12+00:00,2017-12
569266,@AppleSupport  Hey I just updated my iPhone 7 to iOS 11.2 and since then it shuts down every min. Is it a trick to push me to get the new one? It would be: https://t.co/ugAdgFskf4,Sun Dec 03 02:47:53 +0000 2017,3,2017-12-03 02:47:53+00:00,2017-12
598084,Ok @115858 @AppleSupport @119462 I used to be able to move cursor by holding down finger and slide. Now what!?!? It ain’t working!!! Same with hold down on a link to copy address!!! #iphonexproblems #iphonex pls test and fix!,Sun Dec 03 19:38:19 +0000 2017,4,2017-12-03 19:38:19+00:00,2017-12
560434,"@AppleSupport hi, where did ""all my files"" go in the newest mac software??",Sat Dec 02 22:17:20 +0000 2017,2,2017-12-02 22:17:20+00:00,2017-12
582784,WHY IS THIS THE THIRD PAIR OF IPHONE EARPHONES THAT THE RIGHT WIDE WONT WORK! WHY @115858 literally got it last christmas!,Sun Dec 03 04:54:24 +0000 2017,4,2017-12-03 04:54:24+00:00,2017-12
